learner_id,age,age_group,gender,region,device_type,signup_date
L01064,22,18-24,Male,Western Cape,Mobile,2024-12-01
L01065,26,25-34,Female,Gauteng,Tablet,2024-10-03
L01066,31,25-34,Female,Western Cape,Mobile,2025-03-27
L01067,27,25-34,Female,Western Cape,Mobile,2025-04-28
L01068,25,25-34,Male,Gauteng,Desktop,2025-09-23
L01069,23,18-24,Female,KwaZulu-Natal,Mobile,2024-12-30
L01070,32,25-34,Male,KwaZulu-Natal,Mobile,2024-01-22
L01071,31,25-34,Female,KwaZulu-Natal,Mobile,2024-11-01
L01072,41,35-44,Male,Eastern Cape,Mobile,2025-06-10
L01073,27,25-34,Female,Free State,Mobile,2025-10-06
L01074,35,35-44,Female,Gauteng,Mobile,2024-09-13
L01075,34,25-34,Non-binary,KwaZulu-Natal,Tablet,2025-04-15
L01076,42,35-44,Female,Limpopo,Desktop,2025-11-04
L01077,23,18-24,Male,Mpumalanga,Mobile,2025-02-09
L01078,18,18-24,Male,KwaZulu-Natal,Desktop,2024-03-28
L01079,32,25-34,Male,Limpopo,Mobile,2024-03-22
L01080,18,18-24,Male,Western Cape,Mobile,2025-02-10
L01081,31,25-34,Female,Gauteng,Mobile,2025-04-13
L01082,28,25-34,Female,Gauteng,Mobile,2024-08-06
L01083,50,45+,Female,Gauteng,Tablet,2024-09-27
L01084,36,35-44,Female,Gauteng,Mobile,2024-03-01
L01085,35,35-44,Female,Gauteng,Mobile,2025-12-19
L01086,25,25-34,Male,Limpopo,Mobile,2025-02-07
L01087,18,18-24,Female,Limpopo,Desktop,2025-03-14
L01088,29,25-34,Male,Limpopo,Mobile,2024-04-29
L01089,30,25-34,Female,Western Cape,Mobile,2024-12-25
L01090,25,25-34,Male,Western Cape,Desktop,2024-09-03
L01091,33,25-34,Male,Western Cape,Mobile,2024-01-31
L01092,35,35-44,Male,Limpopo,Mobile,2024-01-13
L01093,34,25-34,Male,Gauteng,Desktop,2024-09-12
L01094,18,18-24,Female,Gauteng,Mobile,2024-09-10
L01095,32,25-34,Male,Gauteng,Tablet,2024-10-27
L01096,23,18-24,Female,Mpumalanga,Mobile,2024-01-21
L01097,26,25-34,Male,Mpumalanga,Desktop,2025-03-06
L01098,44,35-44,Male,Eastern Cape,Mobile,2025-11-03
L01099,26,25-34,Male,Gauteng,Mobile,2025-07-28
L01100,28,25-34,Female,Western Cape,Desktop,2025-10-02
L01101,34,25-34,Male,KwaZulu-Natal,Tablet,2024-11-09
L01102,41,35-44,Male,KwaZulu-Natal,Mobile,2024-11-07
L01103,22,18-24,Male,KwaZulu-Natal,Desktop,2024-05-07
L01104,29,25-34,Female,Gauteng,Desktop,2024-04-05
L01105,30,25-34,Female,Western Cape,Tablet,2024-09-01
L01106,26,25-34,Male,Gauteng,Mobile,2025-11-15
L01107,22,18-24,Female,Western Cape,Tablet,2024-08-29
L01108,29,25-34,Male,KwaZulu-Natal,Desktop,2025-12-06
L01109,23,18-24,Male,Western Cape,Mobile,2024-11-21
L01110,25,25-34,Female,Free State,Mobile,2024-01-23
L01111,32,25-34,Female,North West,Mobile,2025-10-16
L01112,43,35-44,Male,Limpopo,Mobile,2024-09-09
L01113,18,18-24,Female,Free State,Mobile,2024-05-09
L01114,29,25-34,Female,KwaZulu-Natal,Desktop,2025-03-03
L01115,29,25-34,Male,Western Cape,Mobile,2025-02-05
L01116,42,35-44,Male,Limpopo,Desktop,2025-06-24
L01117,39,35-44,Female,Western Cape,Mobile,2025-03-03
L01118,22,18-24,Female,Gauteng,Desktop,2025-12-20
L01119,30,25-34,Female,Gauteng,Mobile,2024-08-01
L01120,29,25-34,Female,Gauteng,Desktop,2024-07-16
L01121,37,35-44,Male,Gauteng,Desktop,2025-09-21
L01122,27,25-34,Female,KwaZulu-Natal,Desktop,2024-11-28
L01123,22,18-24,Male,Gauteng,Mobile,2025-03-13
L01124,28,25-34,Female,Western Cape,Mobile,2025-03-13
L01125,26,25-34,Male,Mpumalanga,Mobile,2025-10-02
L01126,18,18-24,Female,Free State,Desktop,2024-06-28
L01127,30,25-34,Female,Western Cape,Desktop,2024-08-22
L01128,36,35-44,Male,Limpopo,Desktop,2025-03-31
L01129,33,25-34,Female,Gauteng,Mobile,2024-11-12
L01130,29,25-34,Male,Gauteng,Mobile,2024-04-12
L01131,42,35-44,Non-binary,KwaZulu-Natal,Desktop,2024-02-29
L01132,21,18-24,Female,Gauteng,Mobile,2025-01-14
L01133,35,35-44,Female,Mpumalanga,Mobile,2024-05-18
L01134,30,25-34,Male,Gauteng,Desktop,2024-04-28
L01135,29,25-34,Male,Eastern Cape,Desktop,2025-07-13
L01136,26,25-34,Female,KwaZulu-Natal,Desktop,2024-09-01
L01137,20,18-24,Female,Gauteng,Mobile,2025-10-31
L01138,30,25-34,Male,Gauteng,Mobile,2024-02-12
L01139,34,25-34,Female,KwaZulu-Natal,Mobile,2024-11-05
L01140,43,35-44,Male,Eastern Cape,Desktop,2024-12-27
L01141,31,25-34,Male,Gauteng,Mobile,2025-02-24
L01142,40,35-44,Female,KwaZulu-Natal,Desktop,2025-06-13
L01143,36,35-44,Male,Western Cape,Mobile,2025-04-09
L01144,29,25-34,Female,Western Cape,Mobile,2025-12-09
L01145,26,25-34,Male,Northern Cape,Desktop,2025-03-21
L01146,18,18-24,Male,KwaZulu-Natal,Desktop,2024-07-05
L01147,22,18-24,Male,KwaZulu-Natal,Desktop,2025-03-14
L01148,26,25-34,Male,Gauteng,Tablet,2024-03-01
L01149,23,18-24,Female,Gauteng,Desktop,2025-12-25
L01150,33,25-34,Male,Eastern Cape,Tablet,2024-05-31
L01151,18,18-24,Female,KwaZulu-Natal,Desktop,2025-10-01
L01152,29,25-34,Female,Western Cape,Mobile,2024-08-12
L01153,39,35-44,Female,Limpopo,Tablet,2025-06-07
L01154,27,25-34,Male,Gauteng,Mobile,2024-06-01
L01155,20,18-24,Male,Gauteng,Mobile,2024-08-05
L01156,36,35-44,Male,Eastern Cape,Tablet,2024-05-09
L01157,44,35-44,Male,KwaZulu-Natal,Mobile,2025-05-04
L01158,25,25-34,Female,Limpopo,Mobile,2025-08-11
L01159,18,18-24,Female,Eastern Cape,Mobile,2025-12-07
L01160,31,25-34,Female,Western Cape,Desktop,2024-10-29
L01161,24,18-24,Male,Gauteng,Mobile,2024-06-05
L01162,27,25-34,Non-binary,Western Cape,Desktop,2025-08-01
L01163,37,35-44,Male,Gauteng,Mobile,2024-03-13
L01164,41,35-44,Female,Western Cape,Mobile,2025-10-11
L01165,37,35-44,Male,Gauteng,Mobile,2025-01-16
L01166,40,35-44,Female,Eastern Cape,Desktop,2024-11-20
L01167,49,45+,Male,North West,Mobile,2025-05-16
L01168,20,18-24,Female,Gauteng,Mobile,2024-07-12
L01169,28,25-34,Male,Limpopo,Mobile,2024-08-26
L01170,29,25-34,Non-binary,KwaZulu-Natal,Desktop,2025-10-31
L01171,21,18-24,Male,Western Cape,Mobile,2025-10-24
L01172,28,25-34,Female,Gauteng,Mobile,2024-03-28
L01173,21,18-24,Male,Limpopo,Mobile,2024-03-06
L01174,28,25-34,Male,Western Cape,Mobile,2025-08-06
L01175,27,25-34,Male,Gauteng,Mobile,2024-06-07
L01176,18,18-24,Male,KwaZulu-Natal,Desktop,2025-05-19
L01177,22,18-24,Female,Gauteng,Desktop,2024-01-28
L01178,35,35-44,Female,Eastern Cape,Desktop,2025-05-27
L01179,37,35-44,Female,Eastern Cape,Mobile,2024-03-30
L01180,46,45+,Male,Limpopo,Desktop,2024-04-28
L01181,36,35-44,Female,KwaZulu-Natal,Mobile,2025-04-06
L01182,22,18-24,Female,Western Cape,Tablet,2025-09-01
L01183,43,35-44,Male,Gauteng,Mobile,2025-08-02
L01184,43,35-44,Female,Gauteng,Desktop,2025-09-24
L01185,18,18-24,Male,KwaZulu-Natal,Mobile,2024-07-24
L01186,43,35-44,Female,Gauteng,Desktop,2025-10-07
L01187,33,25-34,Male,Mpumalanga,Mobile,2024-09-04
L01188,37,35-44,Male,KwaZulu-Natal,Desktop,2025-07-27
L01189,20,18-24,Female,Western Cape,Tablet,2025-02-07
L01190,36,35-44,Male,KwaZulu-Natal,Desktop,2024-05-24
L01191,28,25-34,Male,KwaZulu-Natal,Mobile,2025-12-04
L01192,26,25-34,Male,Mpumalanga,Mobile,2024-04-13
L01193,18,18-24,Female,KwaZulu-Natal,Desktop,2025-01-17
L01194,26,25-34,Male,Western Cape,Desktop,2024-10-09
L01195,30,25-34,Male,Limpopo,Mobile,2024-01-20
L01196,33,25-34,Male,Limpopo,Mobile,2025-11-19
L01197,32,25-34,Female,KwaZulu-Natal,Mobile,2024-07-25
L01198,19,18-24,Female,North West,Desktop,2025-04-26
L01199,18,18-24,Female,Gauteng,Mobile,2024-06-19
L01200,39,35-44,Male,KwaZulu-Natal,Desktop,2025-02-16
L01201,31,25-34,Male,Gauteng,Mobile,2025-10-14
L01202,29,25-34,Male,Limpopo,Desktop,2025-04-23
L01203,18,18-24,Female,Gauteng,Desktop,2024-01-26
L01204,32,25-34,Male,KwaZulu-Natal,Mobile,2025-01-09
L01205,41,35-44,Male,Gauteng,Desktop,2025-12-23
L01206,32,25-34,Female,Gauteng,Mobile,2025-08-05
L01207,30,25-34,Female,Limpopo,Mobile,2025-11-25
L01208,24,18-24,Female,KwaZulu-Natal,Desktop,2025-11-01
L01209,37,35-44,Female,Gauteng,Desktop,2024-03-20
L01210,25,25-34,Male,Mpumalanga,Mobile,2024-10-24
L01211,40,35-44,Male,KwaZulu-Natal,Mobile,2024-01-18
L01212,34,25-34,Male,KwaZulu-Natal,Mobile,2024-09-04
L01213,38,35-44,Female,KwaZulu-Natal,Desktop,2025-11-12
L01214,18,18-24,Male,Mpumalanga,Mobile,2025-07-18
L01215,30,25-34,Female,Mpumalanga,Mobile,2025-10-25
L01216,42,35-44,Female,Western Cape,Mobile,2025-08-29
L01217,41,35-44,Female,Free State,Mobile,2024-12-09
L01218,31,25-34,Female,KwaZulu-Natal,Desktop,2024-04-12
L01219,18,18-24,Female,Gauteng,Tablet,2024-04-03
L01220,29,25-34,Female,Gauteng,Mobile,2024-02-24
L01221,50,45+,Female,Gauteng,Mobile,2025-11-29
L01222,34,25-34,Female,Eastern Cape,Desktop,2024-03-28
L01223,34,25-34,Female,Eastern Cape,Desktop,2024-10-14
L01224,18,18-24,Female,Northern Cape,Desktop,2024-09-20
L01225,27,25-34,Female,KwaZulu-Natal,Mobile,2024-04-24
L01226,33,25-34,Female,Eastern Cape,Desktop,2024-12-03
L01227,20,18-24,Male,Free State,Desktop,2024-10-01
L01228,18,18-24,Male,Eastern Cape,Desktop,2025-10-02
L01229,23,18-24,Female,Eastern Cape,Desktop,2024-04-23
L01230,22,18-24,Male,Gauteng,Mobile,2024-12-28
L01231,25,25-34,Female,Mpumalanga,Desktop,2025-09-13
L01232,27,25-34,Male,KwaZulu-Natal,Mobile,2024-06-15
L01233,20,18-24,Male,Gauteng,Desktop,2024-02-16
L01234,19,18-24,Female,Gauteng,Mobile,2024-12-11
L01235,33,25-34,Male,Gauteng,Mobile,2024-08-19
L01236,23,18-24,Female,Gauteng,Desktop,2024-08-29
L01237,29,25-34,Male,Western Cape,Desktop,2025-01-18
L01238,35,35-44,Male,Gauteng,Tablet,2025-03-29
L01239,21,18-24,Male,Western Cape,Mobile,2025-07-31
L01240,28,25-34,Male,Limpopo,Desktop,2025-09-24
L01241,23,18-24,Male,Gauteng,Mobile,2024-09-15
L01242,28,25-34,Female,KwaZulu-Natal,Mobile,2025-10-01
L01243,32,25-34,Female,Western Cape,Mobile,2024-10-17
L01244,33,25-34,Male,Gauteng,Desktop,2024-10-10
L01245,30,25-34,Female,Gauteng,Desktop,2025-07-08
L01246,32,25-34,Male,KwaZulu-Natal,Mobile,2024-02-13
L01247,37,35-44,Female,North West,Mobile,2024-09-15
L01248,30,25-34,Female,Gauteng,Desktop,2024-02-22
L01249,31,25-34,Female,Eastern Cape,Mobile,2025-04-12
L01250,18,18-24,Female,Gauteng,Desktop,2025-04-09
L01251,32,25-34,Female,KwaZulu-Natal,Mobile,2024-03-19
L01252,33,25-34,Male,Eastern Cape,Desktop,2024-12-26
L01253,36,35-44,Male,Eastern Cape,Mobile,2025-05-17
L01254,38,35-44,Male,Western Cape,Desktop,2024-11-21
L01255,26,25-34,Male,Limpopo,Tablet,2025-03-05
L01256,37,35-44,Male,Free State,Mobile,2025-09-19
L01257,28,25-34,Female,Mpumalanga,Mobile,2024-10-31
L01258,23,18-24,Male,Limpopo,Mobile,2024-10-26
L01259,35,35-44,Female,Free State,Mobile,2024-04-21
L01260,41,35-44,Male,KwaZulu-Natal,Mobile,2025-09-16
L01261,21,18-24,Female,Gauteng,Mobile,2024-08-12
L01262,35,35-44,Female,Western Cape,Desktop,2025-07-13
L01263,35,35-44,Male,Western Cape,Mobile,2025-04-08
L01264,31,25-34,Female,Western Cape,Desktop,2024-04-17
L01265,22,18-24,Female,Gauteng,Mobile,2025-10-22
L01266,27,25-34,Female,Free State,Mobile,2025-05-25
L01267,22,18-24,Male,Eastern Cape,Mobile,2025-09-04
L01268,21,18-24,Male,Gauteng,Mobile,2024-02-28
L01269,18,18-24,Male,Free State,Desktop,2025-03-19
L01270,33,25-34,Female,Mpumalanga,Mobile,2025-08-10
L01271,30,25-34,Male,Free State,Mobile,2025-02-01
L01272,28,25-34,Male,Gauteng,Desktop,2024-06-01
L01273,24,18-24,Male,Limpopo,Mobile,2025-01-08
L01274,33,25-34,Male,KwaZulu-Natal,Desktop,2025-07-15
L01275,24,18-24,Female,Gauteng,Mobile,2024-11-27
L01276,36,35-44,Female,Gauteng,Mobile,2024-06-09
L01277,31,25-34,Female,Limpopo,Desktop,2024-02-15
L01278,23,18-24,Male,Free State,Mobile,2025-05-06
L01279,18,18-24,Male,Limpopo,Mobile,2025-10-05
L01280,18,18-24,Male,North West,Mobile,2025-04-11
L01281,21,18-24,Male,Gauteng,Mobile,2024-05-05
L01282,22,18-24,Male,Gauteng,Tablet,2025-12-27
L01283,22,18-24,Male,Gauteng,Mobile,2025-12-25
L01284,29,25-34,Male,Mpumalanga,Mobile,2024-09-25
L01285,19,18-24,Female,Western Cape,Desktop,2025-01-22
L01286,29,25-34,Female,KwaZulu-Natal,Desktop,2024-10-10
L01287,22,18-24,Male,KwaZulu-Natal,Mobile,2024-11-29
L01288,26,25-34,Female,Gauteng,Mobile,2025-11-19
L01289,41,35-44,Female,Limpopo,Mobile,2024-10-15
L01290,48,45+,Female,Gauteng,Desktop,2025-01-29
L01291,35,35-44,Female,Gauteng,Desktop,2024-08-16
L01292,32,25-34,Female,Limpopo,Mobile,2024-11-03
L01293,19,18-24,Male,Mpumalanga,Mobile,2025-01-07
L01294,20,18-24,Male,Western Cape,Mobile,2024-03-15
L01295,33,25-34,Male,Western Cape,Tablet,2024-02-05
L01296,18,18-24,Female,Western Cape,Desktop,2025-11-09
L01297,42,35-44,Male,Mpumalanga,Desktop,2024-03-10
L01298,25,25-34,Male,Mpumalanga,Mobile,2025-01-10
L01299,32,25-34,Male,North West,Desktop,2024-04-13
L01300,18,18-24,Male,Gauteng,Tablet,2025-09-15
L01301,21,18-24,Female,Limpopo,Mobile,2024-05-22
L01302,20,18-24,Male,Western Cape,Desktop,2025-05-17
L01303,21,18-24,Male,Eastern Cape,Mobile,2025-02-09
L01304,35,35-44,Male,Gauteng,Mobile,2025-02-07
L01305,18,18-24,Female,KwaZulu-Natal,Mobile,2025-12-31
L01306,57,45+,Female,Mpumalanga,Mobile,2025-12-21
L01307,21,18-24,Female,Gauteng,Mobile,2024-06-25
L01308,25,25-34,Male,Mpumalanga,Desktop,2024-05-01
L01309,19,18-24,Female,KwaZulu-Natal,Desktop,2025-01-24
L01310,28,25-34,Female,Gauteng,Tablet,2024-05-01
L01311,23,18-24,Male,Gauteng,Mobile,2024-07-17
L01312,29,25-34,Male,KwaZulu-Natal,Desktop,2024-01-12
L01313,31,25-34,Male,Western Cape,Mobile,2024-04-12
L01314,37,35-44,Male,Gauteng,Mobile,2024-08-03
L01315,29,25-34,Female,Eastern Cape,Tablet,2024-08-07
L01316,27,25-34,Male,Western Cape,Tablet,2024-03-02
L01317,18,18-24,Female,Gauteng,Tablet,2025-06-09
L01318,26,25-34,Female,KwaZulu-Natal,Mobile,2025-04-25
L01319,41,35-44,Female,Western Cape,Desktop,2024-04-21
L01320,18,18-24,Female,Western Cape,Desktop,2025-02-12
L01321,18,18-24,Female,Gauteng,Desktop,2024-12-15
L01322,34,25-34,Male,Gauteng,Mobile,2024-05-03
L01323,25,25-34,Male,Gauteng,Desktop,2024-11-20
L01324,29,25-34,Male,Mpumalanga,Desktop,2025-06-06
L01325,18,18-24,Female,Gauteng,Desktop,2025-02-14
L01326,46,45+,Male,Northern Cape,Mobile,2025-09-17
L01327,25,25-34,Male,KwaZulu-Natal,Desktop,2024-04-23
L01328,39,35-44,Male,KwaZulu-Natal,Desktop,2024-03-29
L01329,23,18-24,Male,North West,Mobile,2024-11-26
L01330,34,25-34,Male,Gauteng,Mobile,2025-10-19
L01331,29,25-34,Female,Gauteng,Mobile,2025-01-25
L01332,24,18-24,Male,Gauteng,Mobile,2024-09-26
L01333,32,25-34,Female,Free State,Mobile,2024-02-15
L01334,28,25-34,Female,Western Cape,Mobile,2024-05-18
L01335,31,25-34,Male,North West,Tablet,2025-11-24
L01336,40,35-44,Female,Northern Cape,Mobile,2025-03-26
L01337,26,25-34,Female,Western Cape,Desktop,2024-05-24
L01338,34,25-34,Female,Gauteng,Mobile,2024-05-02
L01339,28,25-34,Female,KwaZulu-Natal,Tablet,2024-04-29
L01340,44,35-44,Non-binary,KwaZulu-Natal,Mobile,2025-07-03
L01341,20,18-24,Male,Limpopo,Mobile,2024-12-13
L01342,39,35-44,Female,Free State,Desktop,2024-01-06
L01343,31,25-34,Male,Northern Cape,Mobile,2024-07-02
L01344,21,18-24,Male,KwaZulu-Natal,Mobile,2025-03-26
L01345,47,45+,Female,Limpopo,Desktop,2025-11-16
L01346,22,18-24,Male,Western Cape,Desktop,2025-03-13
L01347,21,18-24,Male,Eastern Cape,Mobile,2024-08-11
L01348,36,35-44,Female,Western Cape,Desktop,2025-10-10
L01349,20,18-24,Female,Western Cape,Mobile,2024-05-22
L01350,25,25-34,Female,KwaZulu-Natal,Tablet,2024-10-10
L01351,20,18-24,Female,Western Cape,Mobile,2024-10-30
L01352,33,25-34,Female,Gauteng,Desktop,2024-01-31
L01353,29,25-34,Non-binary,Gauteng,Mobile,2025-01-10
L01354,32,25-34,Female,Western Cape,Desktop,2024-12-05
L01355,18,18-24,Female,KwaZulu-Natal,Mobile,2024-02-21
L01356,37,35-44,Male,Western Cape,Mobile,2024-07-21
L01357,31,25-34,Female,Gauteng,Mobile,2024-12-22
L01358,43,35-44,Female,Gauteng,Mobile,2024-08-05
L01359,18,18-24,Female,Gauteng,Desktop,2024-09-30
L01360,28,25-34,Male,Gauteng,Mobile,2025-09-23
L01361,37,35-44,Female,Gauteng,Mobile,2025-06-07
L01362,26,25-34,Male,Eastern Cape,Mobile,2024-10-07
L01363,18,18-24,Female,Western Cape,Desktop,2025-08-20
L01364,27,25-34,Male,Gauteng,Desktop,2024-05-01
L01365,31,25-34,Male,Free State,Desktop,2025-06-22
L01366,30,25-34,Female,Western Cape,Desktop,2024-12-23
L01367,21,18-24,Male,KwaZulu-Natal,Mobile,2025-05-19
L01368,33,25-34,Male,Mpumalanga,Tablet,2024-05-16
L01369,26,25-34,Male,Gauteng,Tablet,2025-03-07
L01370,46,45+,Male,Western Cape,Desktop,2024-10-17
L01371,38,35-44,Male,Western Cape,Mobile,2024-08-24
L01372,25,25-34,Male,Gauteng,Tablet,2025-07-05
L01373,24,18-24,Female,Western Cape,Mobile,2024-05-17
L01374,28,25-34,Male,Gauteng,Mobile,2025-02-20
L01375,40,35-44,Female,Western Cape,Tablet,2025-06-23
L01376,18,18-24,Female,KwaZulu-Natal,Mobile,2024-11-18
L01377,33,25-34,Male,Western Cape,Tablet,2024-04-16
L01378,22,18-24,Male,Limpopo,Mobile,2024-07-16
L01379,34,25-34,Male,Gauteng,Mobile,2024-06-08
L01380,26,25-34,Male,Gauteng,Mobile,2024-03-09
L01381,33,25-34,Male,Gauteng,Desktop,2024-08-27
L01382,25,25-34,Female,KwaZulu-Natal,Desktop,2025-04-12
L01383,33,25-34,Male,Limpopo,Mobile,2025-12-25
L01384,27,25-34,Male,Eastern Cape,Mobile,2024-05-30
L01385,18,18-24,Female,Gauteng,Desktop,2025-01-27
L01386,25,25-34,Male,KwaZulu-Natal,Mobile,2024-10-16
L01387,31,25-34,Female,Western Cape,Desktop,2025-06-10
L01388,29,25-34,Male,North West,Desktop,2025-09-05
L01389,37,35-44,Male,KwaZulu-Natal,Desktop,2025-03-07
L01390,35,35-44,Female,KwaZulu-Natal,Mobile,2024-02-08
L01391,20,18-24,Female,Gauteng,Mobile,2024-09-03
L01392,22,18-24,Male,Gauteng,Desktop,2024-07-12
L01393,28,25-34,Female,Gauteng,Mobile,2025-07-10
L01394,23,18-24,Male,Mpumalanga,Desktop,2025-12-05
L01395,26,25-34,Male,Gauteng,Desktop,2024-12-25
L01396,29,25-34,Female,Gauteng,Mobile,2024-04-12
L01397,34,25-34,Male,Gauteng,Desktop,2024-09-27
L01398,26,25-34,Male,Eastern Cape,Mobile,2025-04-12
L01399,31,25-34,Female,Mpumalanga,Mobile,2025-09-22
L01400,26,25-34,Female,Eastern Cape,Desktop,2025-03-21
L01401,37,35-44,Male,Gauteng,Mobile,2024-07-24
L01402,27,25-34,Female,Western Cape,Mobile,2024-07-24
L01403,30,25-34,Female,Gauteng,Desktop,2024-06-07
L01404,27,25-34,Female,KwaZulu-Natal,Mobile,2025-04-19
L01405,32,25-34,Male,Gauteng,Mobile,2024-06-13
L01406,18,18-24,Female,Eastern Cape,Desktop,2024-05-25
L01407,29,25-34,Female,Western Cape,Mobile,2025-05-11
L01408,33,25-34,Male,Western Cape,Desktop,2025-08-24
L01409,31,25-34,Male,Limpopo,Mobile,2024-07-26
L01410,33,25-34,Female,Gauteng,Mobile,2024-03-26
L01411,24,18-24,Female,Gauteng,Mobile,2024-06-13
L01412,28,25-34,Male,Gauteng,Desktop,2024-09-07
L01413,19,18-24,Female,KwaZulu-Natal,Mobile,2025-04-16
L01414,28,25-34,Male,Free State,Desktop,2025-06-02
L01415,28,25-34,Male,North West,Desktop,2025-06-13
L01416,31,25-34,Male,KwaZulu-Natal,Desktop,2025-11-19
L01417,28,25-34,Female,KwaZulu-Natal,Mobile,2024-05-14
L01418,42,35-44,Male,Gauteng,Desktop,2024-02-07
L01419,27,25-34,Male,KwaZulu-Natal,Mobile,2025-03-27
L01420,24,18-24,Female,KwaZulu-Natal,Mobile,2024-06-05
L01421,29,25-34,Male,Western Cape,Mobile,2024-05-21
L01422,32,25-34,Female,Gauteng,Desktop,2025-11-18
L01423,37,35-44,Male,Eastern Cape,Desktop,2025-03-25
L01424,25,25-34,Female,Western Cape,Mobile,2024-08-18
L01425,29,25-34,Non-binary,North West,Mobile,2025-05-25
L01426,31,25-34,Female,Western Cape,Tablet,2024-12-26
L01427,29,25-34,Female,Western Cape,Mobile,2025-11-11
L01428,21,18-24,Male,Western Cape,Mobile,2024-03-18
L01429,18,18-24,Female,Northern Cape,Mobile,2024-08-12
L01430,18,18-24,Male,Western Cape,Mobile,2024-07-28
L01431,18,18-24,Male,KwaZulu-Natal,Mobile,2025-05-07
L01432,39,35-44,Male,Gauteng,Desktop,2024-10-19
L01433,34,25-34,Male,Gauteng,Mobile,2024-01-03
L01434,22,18-24,Male,Limpopo,Desktop,2024-08-02
L01435,19,18-24,Female,Gauteng,Desktop,2025-02-01
L01436,34,25-34,Female,Eastern Cape,Mobile,2025-03-04
L01437,32,25-34,Female,Free State,Tablet,2024-08-20
L01438,27,25-34,Non-binary,Limpopo,Desktop,2024-05-01
L01439,32,25-34,Male,Gauteng,Mobile,2025-11-28
L01440,41,35-44,Male,Free State,Desktop,2024-08-10
L01441,22,18-24,Female,Limpopo,Desktop,2025-03-04
L01442,29,25-34,Female,Northern Cape,Desktop,2024-02-19
L01443,18,18-24,Male,Gauteng,Desktop,2024-06-14
L01444,24,18-24,Male,Mpumalanga,Mobile,2025-01-13
L01445,26,25-34,Female,KwaZulu-Natal,Mobile,2025-08-26
L01446,18,18-24,Female,Western Cape,Desktop,2024-11-20
L01447,38,35-44,Female,Mpumalanga,Mobile,2025-11-04
L01448,28,25-34,Female,Western Cape,Mobile,2024-10-20
L01449,28,25-34,Male,Gauteng,Desktop,2024-11-21
L01450,35,35-44,Male,Gauteng,Mobile,2025-03-07
L01451,35,35-44,Female,Gauteng,Desktop,2025-09-26
L01452,29,25-34,Female,Limpopo,Desktop,2024-11-05
L01453,25,25-34,Female,Limpopo,Mobile,2025-02-13
L01454,33,25-34,Female,KwaZulu-Natal,Mobile,2024-10-13
L01455,26,25-34,Female,KwaZulu-Natal,Desktop,2024-10-31
L01456,35,35-44,Female,Gauteng,Mobile,2025-06-03
L01457,32,25-34,Male,Gauteng,Mobile,2025-06-02
L01458,31,25-34,Female,KwaZulu-Natal,Tablet,2024-10-13
L01459,34,25-34,Male,KwaZulu-Natal,Desktop,2025-02-24
L01460,33,25-34,Female,KwaZulu-Natal,Mobile,2024-11-10
L01461,34,25-34,Male,Eastern Cape,Mobile,2025-08-10
L01462,19,18-24,Male,Gauteng,Mobile,2024-06-22
L01463,18,18-24,Male,Eastern Cape,Desktop,2024-10-09
L01464,18,18-24,Female,Gauteng,Mobile,2025-10-24
L01465,28,25-34,Male,Gauteng,Mobile,2024-10-07
L01466,28,25-34,Female,Eastern Cape,Mobile,2025-04-04
L01467,34,25-34,Male,Mpumalanga,Mobile,2024-08-11
L01468,18,18-24,Non-binary,KwaZulu-Natal,Mobile,2024-05-13
L01469,38,35-44,Male,Eastern Cape,Mobile,2024-04-19
L01470,25,25-34,Female,Free State,Mobile,2025-07-29
L01471,21,18-24,Female,KwaZulu-Natal,Mobile,2024-01-16
L01472,27,25-34,Female,KwaZulu-Natal,Mobile,2025-08-06
L01473,31,25-34,Female,Limpopo,Mobile,2024-08-30
L01474,27,25-34,Male,Western Cape,Mobile,2025-03-30
L01475,28,25-34,Male,Eastern Cape,Mobile,2025-05-09
L01476,27,25-34,Female,Free State,Mobile,2024-07-29
L01477,23,18-24,Male,Gauteng,Desktop,2024-02-22
L01478,52,45+,Male,Eastern Cape,Mobile,2024-08-19
L01479,30,25-34,Male,Gauteng,Mobile,2025-06-25
L01480,18,18-24,Female,Gauteng,Desktop,2024-08-31
L01481,18,18-24,Male,Gauteng,Mobile,2024-09-18
L01482,25,25-34,Male,Limpopo,Mobile,2024-09-27
L01483,18,18-24,Male,Limpopo,Desktop,2024-11-21
L01484,30,25-34,Female,Western Cape,Mobile,2025-07-09
L01485,37,35-44,Non-binary,KwaZulu-Natal,Mobile,2025-02-23
L01486,38,35-44,Female,Eastern Cape,Tablet,2024-08-14
L01487,18,18-24,Female,KwaZulu-Natal,Desktop,2024-12-31
L01488,29,25-34,Female,KwaZulu-Natal,Mobile,2024-04-19
L01489,33,25-34,Male,Eastern Cape,Desktop,2025-05-20
L01490,38,35-44,Male,Limpopo,Mobile,2025-09-07
L01491,36,35-44,Female,Gauteng,Mobile,2025-06-11
L01492,21,18-24,Male,Mpumalanga,Mobile,2024-10-06
L01493,27,25-34,Female,KwaZulu-Natal,Mobile,2024-07-17
L01494,28,25-34,Female,Western Cape,Mobile,2025-12-03
L01495,34,25-34,Female,Western Cape,Desktop,2024-06-21
L01496,18,18-24,Male,Gauteng,Desktop,2025-08-22
L01497,43,35-44,Male,Western Cape,Mobile,2024-12-16
L01498,26,25-34,Male,Limpopo,Mobile,2025-07-12
